route,route_class,audience,primary_intent,page_promise,baseline_cta,baseline_destination,baseline_global_endcaps,implemented_cta,implemented_destination,action_owner,disposition,analytics,change_reason,recommendation
"/","homepage","everyone","Healthcare Money Explained Clearly","RN-led guides and calculators for medical bills, insurance, Medicare, Medicaid, workplace benefits, retirement, and healthcare-worker pay.","Route-specific page action","Route-specific destination","0","Route-specific page action","Route-specific destination","none","already_compliant","existing contract retained","none","Retain and regression-test the existing outcome language."
"/about","trust_reference","everyone","About Community Acquired Finance","Learn why Andrew Ciccarelli, BSN, RN created an RN-led financial literacy resource for healthcare workers, patients, families, and caregivers.","Reference navigation only","Related trust or site navigation","0","No primary conversion CTA appropriate","None","none","no_primary_cta_appropriate","existing contract retained","none","Keep trust and legal pages free of conversion pressure."
"/accessibility","hub_or_guide","everyone","Accessibility Statement","Read the Community Acquired Finance accessibility statement and contact information for reporting barriers.","Route-specific page action","Route-specific destination","0","Route-specific page action","Route-specific destination","none","already_compliant","existing contract retained","none","Retain and regression-test the existing outcome language."
"/articles","hub_or_guide","everyone","Healthcare Finance Articles","Browse RN-led, source-backed articles about medical bills, insurance, Medicare, Medicaid, retirement, workplace benefits, and healthcare-worker finances.","Route-specific page action","Route-specific destination","1","Route-specific page action","Route-specific destination","seo_pathway","already_compliant","existing contract retained","none","Retain and regression-test the existing outcome language."
"/articles/accident-critical-illness-hospital-indemnity-open-enrollment","article","everyone","Accident vs. Critical Illness vs. Hospital Indemnity Insurance","Compare accident, critical illness, and hospital indemnity insurance by benefit trigger, payout, exclusions, and fit with your health plan.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/allowed-amount-medical-bills","article","everyone","Allowed Amount: The Number That Actually Matters on a Medical Bill","Learn why the billed charge is not always the number your insurance uses to calculate your share.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/backup-care-plans-for-busy-healthcare-workers","article","everyone","Backup Childcare for Healthcare Workers: A Shift-Proof Plan","Create a backup childcare plan for nursing shifts, weekends, call, illness, and school closures, including employer benefits and cost planning.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/beneficiaries-open-enrollment-checklist","article","everyone","The 10-Minute Open Enrollment Task That Prevents a Legal Mess","Use open enrollment to update beneficiaries before life changes create avoidable problems.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/blood-thinner-safety-before-going-home","article","everyone","Blood Thinner Safety: What to Verify Before Going Home","Prepare the exact questions and written information needed to use a prescribed blood thinner safely without guessing at medicine-specific rules.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/burnout-overspending-overeating","article","everyone","Burnout, Overspending, and Overeating After Hard Shifts","Understand why hard shifts can trigger expensive or unhealthy coping patterns — without shame.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/can-healthcare-workers-reach-financial-independence","article","healthcare_workers","Can Healthcare Workers Reach Financial Independence?","A realistic FI guide for workers who want more freedom without pretending every shift is easy or every budget is painless.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/can-you-live-off-dividends-passive-income-guide","article","healthcare_workers","Can You Live Off Dividends? A Plain-English Passive Income Guide","A grounded explanation of dividend income, total return, and why passive income still needs a large asset base.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
