"url","routeType","qualityClass","originalStatus","originalFinalDestination","originalCanonical","originalRobots","originalXRobots","originalSitemap","finalStatus","finalFinalDestination","finalCanonical","finalRobots","finalXRobots","finalSitemap","googleIndexStatus","lastCrawl","gscClicks","gscImpressions","meaningfulContentWithoutInteraction","title","metaDescription","h1","pagePurpose","intendedAudience","primarySearchIntent","substantiveDepth","visibleAuthorship","publishedOrUpdatedDate","citations","internalLinksInOriginal","internalLinksOutOriginal","internalLinksInFinal","internalLinksOutFinal","structuredData","duplicationOrOverlap","completeness","originalAnalysisOrFirsthandExpertise","disposition","adsenseRisk"
"https://communityacquiredfinance.com/","hub","3. Legitimate navigational or trust page","200","https://communityacquiredfinance.com/","https://communityacquiredfinance.com/","index, follow, max-image-preview:large","","yes","200 expected","https://communityacquiredfinance.com/","https://communityacquiredfinance.com/","index, follow, max-image-preview:large","","yes","URL-level status unavailable; coverage export is aggregate only","unavailable in attached exports","0","3","yes","Financial Clarity from Retirement to Healthcare Costs | Community Acquired Finance","Plain-English guides and calculators for retirement, investing, workplace benefits, insurance, medical bills, Medicare, and Medicaid—with an RN's healthcare perspective.","Make the next money or healthcare decision clearer.","Plain-English guides and calculators for retirement, investing, workplace benefits, insurance, medical bills, Medicare, and Medicaid—with an RN's healthcare perspective.","patients, families, and caregivers","navigate or use a supporting resource","421 visible words","visible","not visible","0","168","24","162","24","CollectionPage; Organization; WebSite","no exact metadata duplication detected","complete for final disposition","visible RN authorship or founder perspective","retain","low"
"https://communityacquiredfinance.com/404","error route","8. Technical or error route","404","https://communityacquiredfinance.com/adsense-readiness-nonexistent-route","https://communityacquiredfinance.com/__not-found__","noindex, nofollow","","no","404 expected","https://communityacquiredfinance.com/404","https://communityacquiredfinance.com/__not-found__","noindex, nofollow","","no","URL-level status unavailable; coverage export is aggregate only","unavailable in attached exports","0","0","not verified","Page Not Found | Community Acquired Finance","The requested page could not be found.","The link may be old. Your next step is still here.","The requested page could not be found.","general public","navigate or use a supporting resource","55 visible words","not visible","not visible","0","0","23","0","23","none","no exact metadata duplication detected","complete for final disposition","not applicable or not visibly asserted","noindex","low after remediation"
"https://communityacquiredfinance.com/about","trust","3. Legitimate navigational or trust page","200","https://communityacquiredfinance.com/about","https://communityacquiredfinance.com/about","index, follow, max-image-preview:large","","yes","200 expected","https://communityacquiredfinance.com/about","https://communityacquiredfinance.com/about","index, follow, max-image-preview:large","","yes","URL-level status unavailable; coverage export is aggregate only","unavailable in attached exports","2","31","yes","About Community Acquired Finance","Learn why Andrew Ciccarelli, BSN, RN created an RN-led financial literacy resource for healthcare workers, patients, families, and caregivers.","Healthcare money explained by someone who sees the confusion up close.","Learn why Andrew Ciccarelli, BSN, RN created an RN-led financial literacy resource for healthcare workers, patients, families, and caregivers.","healthcare workers","verify publisher trust and terms","1532 visible words","visible","not visible","50","168","23","162","23","BreadcrumbList; WebPage","no exact metadata duplication detected","complete for final disposition","visible RN authorship or founder perspective","retain","low"
"https://communityacquiredfinance.com/access-processing","private application","8. Technical or error route","200","https://communityacquiredfinance.com/access-processing","https://communityacquiredfinance.com/access-processing","noindex, nofollow, noarchive","noindex, nofollow, noarchive","no","200 expected","https://communityacquiredfinance.com/access-processing","https://communityacquiredfinance.com/access-processing","noindex, nofollow, noarchive","noindex, nofollow, noarchive","no","excluded by final noindex","unavailable in attached exports","0","0","not verified","Access Processing | Community Acquired Finance","Check server-verified product access status.","Access is processing","Check server-verified product access status.","authenticated account users","navigate or use a supporting resource","17 visible words","not visible","not visible","0","0","1","0","1","none","supporting or printable variant removed from index","complete for final disposition","not applicable or not visibly asserted","noindex","low after remediation"
"https://communityacquiredfinance.com/accessibility","trust","3. Legitimate navigational or trust page","200","https://communityacquiredfinance.com/accessibility","https://communityacquiredfinance.com/accessibility","index, follow, max-image-preview:large","","yes","200 expected","https://communityacquiredfinance.com/accessibility","https://communityacquiredfinance.com/accessibility","index, follow, max-image-preview:large","","yes","URL-level status unavailable; coverage export is aggregate only","unavailable in attached exports","0","15","yes","Accessibility Statement | Community Acquired Finance","Read the Community Acquired Finance accessibility statement and contact information for reporting barriers.","Accessibility Statement","Read the Community Acquired Finance accessibility statement and contact information for reporting barriers.","all visitors and reviewers","verify publisher trust and terms","358 visible words","not visible","July 29, 2026","0","168","23","162","23","BreadcrumbList; WebPage","no exact metadata duplication detected","complete for final disposition","not applicable or not visibly asserted","strengthen","low"
"https://communityacquiredfinance.com/account","private application","8. Technical or error route","200","https://communityacquiredfinance.com/account","https://communityacquiredfinance.com/account","noindex, nofollow, noarchive","noindex, nofollow, noarchive","no","200 expected","https://communityacquiredfinance.com/account","https://communityacquiredfinance.com/account","noindex, nofollow, noarchive","noindex, nofollow, noarchive","no","excluded by final noindex","unavailable in attached exports","0","0","not verified","Account | Community Acquired Finance","Manage secure Community Acquired Finance account access.","Account","Manage secure Community Acquired Finance account access.","authenticated account users","navigate or use a supporting resource","7 visible words","not visible","not visible","0","0","1","0","1","none","supporting or printable variant removed from index","complete for final disposition","not applicable or not visibly asserted","noindex","low after remediation"
"https://communityacquiredfinance.com/ads.txt","technical resource","8. Technical or error route","200","https://communityacquiredfinance.com/ads.txt","","","","no","200 expected","https://communityacquiredfinance.com/ads.txt","","","","no","URL-level status unavailable; coverage export is aggregate only","unavailable in attached exports","0","0","not verified","","","","technical resource for Community Acquired Finance visitors","general public","navigate or use a supporting resource","0 visible words","not applicable","not visible","0","0","0","0","0","none","no exact metadata duplication detected","manual verification required","not applicable or not visibly asserted","retain","low"
"https://communityacquiredfinance.com/app","private application","8. Technical or error route","307","/app/benefits-decision","","","","no","not applicable","https://communityacquiredfinance.com/app","https://communityacquiredfinance.com/app","noindex, nofollow, noarchive","noindex, nofollow, noarchive","no","excluded by final noindex","unavailable in attached exports","0","0","not verified","","","Redirecting (307)","private application for Community Acquired Finance visitors","authenticated account users","navigate or use a supporting resource","0 visible words","not applicable","not visible","0","0","1","0","0","none","no exact metadata duplication detected","complete for final disposition","not applicable or not visibly asserted","noindex","low after remediation"
"https://communityacquiredfinance.com/app/benefits-decision","private application","8. Technical or error route","200","https://communityacquiredfinance.com/app/benefits-decision","https://communityacquiredfinance.com/app/benefits-decision","noindex, nofollow, noarchive","noindex, nofollow, noarchive","no","200 expected","https://communityacquiredfinance.com/app/benefits-decision","https://communityacquiredfinance.com/app/benefits-decision","noindex, nofollow, noarchive","noindex, nofollow, noarchive","no","excluded by final noindex","unavailable in attached exports","0","0","not verified","Benefits Decision Application | Community Acquired Finance","Private account-based decision workspace.","Checking secure access","Private account-based decision workspace.","authenticated account users","navigate or use a supporting resource","23 visible words","not visible","not visible","0","2","0","0","0","none","no exact metadata duplication detected","complete for final disposition","not applicable or not visibly asserted","noindex","low after remediation"
"https://communityacquiredfinance.com/app/benefits-decision/new","private application","8. Technical or error route","200","https://communityacquiredfinance.com/app/benefits-decision/new","https://communityacquiredfinance.com/app/benefits-decision/new","noindex, nofollow, noarchive","noindex, nofollow, noarchive","no","200 expected","https://communityacquiredfinance.com/app/benefits-decision/new","https://communityacquiredfinance.com/app/benefits-decision/new","noindex, nofollow, noarchive","noindex, nofollow, noarchive","no","excluded by final noindex","unavailable in attached exports","0","0","not verified","Benefits Decision Application | Community Acquired Finance","Private account-based decision workspace.","Checking secure access","Private account-based decision workspace.","authenticated account users","navigate or use a supporting resource","23 visible words","not visible","not visible","0","0","0","0","0","none","no exact metadata duplication detected","complete for final disposition","not applicable or not visibly asserted","noindex","low after remediation"
